NM_001005484.1	NP_001005484.1
XM_011515245.2	XP_011513547.1
NM_001077653.2	NP_001071121.1
XM_017012456.1	XP_016867945.1
NM_001166220.1	NP_001159692.1
XM_006715765.1	XP_006715828.1
XM_011515473.1	XP_011513775.1
XM_017012506.1	XP_016867995.1
NM_022373.4	NP_071768.3
XM_011515661.2	XP_011513963.1
XM_011515656.2	XP_011513958.1
NM_001011553.3	NP_001011553.2
XM_017012855.1	XP_016868344.1
XM_017012857.1	XP_016868346.1
XM_006715806.3	XP_006715869.1
NM_001788.5	NP_001779.3
XM_017012856.1	XP_016868345.1
NM_001242956.1	NP_001229885.1
XM_017012862.1	XP_016868351.1
XM_017012863.1	XP_016868352.1
XM_017012858.1	XP_016868347.1
XM_017012859.1	XP_016868348.1
XM_017012860.1	XP_016868349.1
XM_017012861.1	XP_016868350.1
NM_030636.2	NP_085139.2
XM_017012658.1	XP_016868147.1
XM_017012657.1	XP_016868146.1
NM_001100425.1	NP_001093895.1
NM_015314.2	NP_056129.2
NM_001199706.1	NP_001186635.1
NM_001199707.1	NP_001186636.1
XM_005249689.3	XP_005249746.1
NM_001199708.1	NP_001186637.1
XM_005249690.4	XP_005249747.1
NM_001300956.1	NP_001287885.1
XM_006715746.1	XP_006715809.1
NM_018685.4	NP_061155.2
XM_017012354.1	XP_016867843.1
XM_017012355.1	XP_016867844.1
XM_006715747.3	XP_006715810.1
NM_001284301.2	NP_001271230.1
XM_017012356.1	XP_016867845.1
NM_001284302.2	NP_001271231.1
XM_011515334.2	XP_011513636.1
XM_011515333.2	XP_011513635.1
NM_001177506.1	NP_001170977.1
XM_011515335.2	XP_011513637.1
XM_017012103.1	XP_016867592.1
XM_017012105.1	XP_016867594.1
XM_011515342.2	XP_011513644.1
NM_001177507.1	NP_001170978.1
XM_017012102.1	XP_016867591.1
NM_001637.3	NP_001628.1
XM_017012104.1	XP_016867593.1
XM_011515338.2	XP_011513640.1
XM_011515336.2	XP_011513638.1
XM_011515339.2	XP_011513641.1
XM_011515340.2	XP_011513642.1
XM_017012106.1	XP_016867595.1
XM_011515341.2	XP_011513643.1
XM_017012838.1	XP_016868327.1
XM_017012839.1	XP_016868328.1
NM_014800.10	NP_055615.8
NM_001206480.2	NP_001193409.1
NM_001206482.1	NP_001193411.1
XM_005249919.2	XP_005249976.1
XM_006715805.1	XP_006715868.1
XM_011515654.1	XP_011513956.1
NM_130442.3	NP_569709.1
NM_001039459.2	NP_001034548.1
XM_011515374.2	XP_011513676.1
XM_011515375.2	XP_011513677.1
XM_017012160.1	XP_016867649.1
XM_017012164.1	XP_016867653.1
XM_017012162.1	XP_016867651.1
XM_017012163.1	XP_016867652.1
XM_017012161.1	XP_016867650.1
XM_011515383.2	XP_011513685.1
XM_017012165.1	XP_016867654.1
XM_017012166.1	XP_016867655.1
XM_017012167.1	XP_016867656.1
NM_181791.1	NP_861456.1
XM_011515385.2	XP_011513687.1
XM_011515386.2	XP_011513688.1
XM_011515388.2	XP_011513690.1
XM_011515389.2	XP_011513691.1
NM_016616.4	NP_057700.3
NM_003014.3	NP_003005.2
NM_017549.4	NP_060019.2
NM_001242946.1	NP_001229875.2
NM_001242948.1	NP_001229877.1
XM_017012692.1	XP_016868181.1
XM_017012693.1	XP_016868182.1
XM_017012694.1	XP_016868183.1
NM_032016.3	NP_114405.1
XM_005249880.1	XP_005249937.1
XM_011515572.1	XP_011513874.1
XM_017012695.1	XP_016868184.1
XM_017012696.1	XP_016868185.1
XM_017012697.1	XP_016868186.1
XM_017012698.1	XP_016868187.1
XM_005249881.2	XP_005249938.1
XM_017012226.1	XP_016867715.1
XM_017012228.1	XP_016867717.1
XM_017012227.1	XP_016867716.1
NM_001003806.1	NP_001003806.1
XM_011515407.2	XP_011513709.1
XM_017012229.1	XP_016867718.1
XM_017012230.1	XP_016867719.1
NM_001003799.1	NP_001003799.1
XM_006715690.3	XP_006715753.1
XM_011515271.2	XP_011513573.1
XM_017011996.1	XP_016867485.1
XM_006715689.3	XP_006715752.1
XM_017011995.1	XP_016867484.1
NM_139316.2	NP_647477.1
NM_001635.3	NP_001626.1
XM_006715691.3	XP_006715754.1
NM_080631.3	NP_542198.2
NM_014396.3	NP_055211.2
XM_017011988.1	XP_016867477.1
XM_011515113.2	XP_011513415.1
NM_007252.3	NP_009183.3
NM_001166018.1	NP_001159490.1
NM_001282446.1	NP_001269375.1
NM_020192.4	NP_064577.1
XM_011515467.1	XP_011513769.1
NM_005402.3	NP_005393.2
XM_006715762.2	XP_006715825.1
XM_011515466.1	XP_011513768.1
XM_017012750.1	XP_016868239.1
XM_017012751.1	XP_016868240.1
NM_003718.4	NP_003709.3
NM_031267.3	NP_112557.2
XM_011515597.2	XP_011513899.1
NM_138701.3	NP_619646.1
XM_011515525.2	XP_011513827.1
NM_001193311.1	NP_001180240.1
XM_006715775.3	XP_006715838.1
NM_001193313.1	NP_001180242.1
XM_011515527.2	XP_011513829.1
XM_011515529.2	XP_011513831.1
NM_001193312.1	NP_001180241.1
NM_024728.2	NP_079004.1
XM_017012622.1	XP_016868111.1
XM_011515528.2	XP_011513830.1
XM_011515530.2	XP_011513832.1
XM_011515526.2	XP_011513828.1
XM_017012621.1	XP_016868110.1
XM_017012175.1	XP_016867664.1
XM_017012174.1	XP_016867663.1
XM_017012176.1	XP_016867665.1
NM_002192.2	NP_002183.1
NM_000168.5	NP_000159.3
XM_017011997.1	XP_016867486.1
XM_011515274.2	XP_011513576.1
NM_001099858.1	NP_001093328.1
XM_017012596.1	XP_016868085.1
XM_017012597.1	XP_016868086.1
NM_024054.2	NP_076959.2
XM_005249844.3	XP_005249901.1
NM_002787.4	NP_002778.1
NM_031903.2	NP_114109.1
XM_017012919.1	XP_016868408.1
XM_006715670.3	XP_006715733.1
XM_006715671.3	XP_006715734.1
XM_006715673.3	XP_006715736.1
XM_017011882.1	XP_016867371.1
XM_017011883.1	XP_016867372.1
XM_017011887.1	XP_016867376.1
XM_017011884.1	XP_016867373.1
XM_017011888.1	XP_016867377.1
XM_017011885.1	XP_016867374.1
XM_005249665.3	XP_005249722.1
XM_011515220.2	XP_011513522.1
XM_017011886.1	XP_016867375.1
NM_015052.4	NP_055867.3
XM_017011889.1	XP_016867378.1
NM_001287059.1	NP_001273988.1
XM_017011890.1	XP_016867379.1
XM_011515222.2	XP_011513524.1
XM_011515223.2	XP_011513525.1
XM_011515224.2	XP_011513526.1
XM_011515225.2	XP_011513527.2
XM_011515226.2	XP_011513528.1
NM_004760.2	NP_004751.2
XM_017012792.1	XP_016868281.1
NM_001321198.1	NP_001308127.1
NM_001321197.1	NP_001308126.1
NM_001321200.1	NP_001308129.1
NM_001321199.1	NP_001308128.1
XM_017012414.1	XP_016867903.1
XM_017012415.1	XP_016867904.1
XM_017012416.1	XP_016867905.1
XM_017012417.1	XP_016867906.1
XM_017012418.1	XP_016867907.1
XM_017012419.1	XP_016867908.1
XM_017012421.1	XP_016867910.1
XM_017012422.1	XP_016867911.1
XM_017012423.1	XP_016867912.1
XM_017012424.1	XP_016867913.1
XM_017012425.1	XP_016867914.1
XM_017012426.1	XP_016867915.1
XM_017012427.1	XP_016867916.1
XM_017012428.1	XP_016867917.1
XM_017012429.1	XP_016867918.1
XM_017012430.1	XP_016867919.1
XM_017012431.1	XP_016867920.1
XM_017012432.1	XP_016867921.1
XM_005249807.4	XP_005249864.1
XM_006715752.2	XP_006715815.1
NM_018224.3	NP_060694.2
NM_001321201.1	NP_001308130.1
XM_017012413.1	XP_016867902.1
XM_017012420.1	XP_016867909.1
NM_001321205.1	NP_001308134.1
NM_001321203.1	NP_001308132.1
NM_001321202.1	NP_001308131.1
NM_001321204.1	NP_001308133.1
XM_017012520.1	XP_016868009.1
NM_000712.3	NP_000703.2
NM_001253823.1	NP_001240752.1
XM_011515474.2	XP_011513776.1
NM_032014.2	NP_114403.1
NM_001204871.1	NP_001191800.1
NM_017920.4	NP_060390.3
NM_001077663.2	NP_001071131.1
NM_001077664.2	NP_001071132.1
NM_001290076.1	NP_001277005.1
NM_001290075.1	NP_001277004.1
XM_017012920.1	XP_016868409.1
XM_017012921.1	XP_016868410.1
XM_017012922.1	XP_016868411.1
XM_006715734.3	XP_006715797.1
NM_015983.3	NP_057067.1
XM_017012293.1	XP_016867782.1
XM_017012294.1	XP_016867783.1
XM_017012292.1	XP_016867781.1
XM_011515420.2	XP_011513722.1
XM_017012295.1	XP_016867784.1
XM_011515423.2	XP_011513725.1
XM_011515422.2	XP_011513724.1
XM_017012015.1	XP_016867504.1
XM_005249719.3	XP_005249776.1
XM_017012017.1	XP_016867506.1
NM_175064.2	NP_778234.2
XM_017012016.1	XP_016867505.1
NM_001122956.1	NP_001116428.1
NM_014063.6	NP_054782.2
XM_011515325.1	XP_011513627.1
NM_001014436.2	NP_001014436.1
NM_001284315.1	NP_001271244.1
NM_001284313.1	NP_001271242.1
NM_000290.3	NP_000281.2
XM_005249711.2	XP_005249768.1
XM_006715696.2	XP_006715759.1
NM_001284330.1	NP_001271259.1
XM_006715692.2	XP_006715755.1
XM_017011999.1	XP_016867488.1
XM_017011998.1	XP_016867487.1
XM_011515278.1	XP_011513580.1
XM_011515275.1	XP_011513577.1
XM_017012002.1	XP_016867491.1
XM_017012003.1	XP_016867492.1
XM_011515285.1	XP_011513587.1
XM_011515282.2	XP_011513584.1
XM_006715698.3	XP_006715761.1
NM_001284331.1	NP_001271260.1
NM_013284.3	NP_037416.1
XM_017012001.1	XP_016867490.1
XM_017012000.1	XP_016867489.1
XM_011515279.1	XP_011513581.1
XM_011515287.2	XP_011513589.1
XM_017012004.1	XP_016867493.1
XM_017012005.1	XP_016867494.1
XM_011515286.2	XP_011513588.1
NM_001129.4	NP_001120.3
XM_011515162.1	XP_011513464.1
XM_011515431.1	XP_011513733.1
NM_006230.3	NP_006221.2
NM_001127218.2	NP_001120690.1
NM_001256879.1	NP_001243808.1
NM_021223.2	NP_067046.1
XM_011515464.2	XP_011513766.1
XM_011515463.2	XP_011513765.1
XM_017012479.1	XP_016867968.1
XM_017012478.1	XP_016867967.1
XM_005249817.4	XP_005249874.1
XM_011515465.2	XP_011513767.1
XM_017011966.1	XP_016867455.1
NM_000162.3	NP_000153.1
NM_033507.1	NP_277042.1
NM_033508.1	NP_277043.1
NM_006555.3	NP_006546.1
XM_017011682.1	XP_016867171.1
XM_005249582.4	XP_005249639.1
NM_172084.2	NP_742081.1
XM_017012665.1	XP_016868154.1
XM_011515557.1	XP_011513859.1
XM_017012664.1	XP_016868153.1
XM_006715781.2	XP_006715844.1
XM_011515554.1	XP_011513856.1
NM_172080.2	NP_742077.1
XM_017012662.1	XP_016868151.1
XM_011515552.1	XP_011513854.1
NM_172083.2	NP_742080.1
XM_005249864.3	XP_005249921.1
XM_011515556.1	XP_011513858.1
NM_172081.2	NP_742078.1
XM_017012660.1	XP_016868149.1
NM_172079.2	NP_742076.1
XM_011515550.1	XP_011513852.1
NM_172082.2	NP_742079.1
XM_006715784.2	XP_006715847.1
XM_011515551.1	XP_011513853.1
XM_005249862.3	XP_005249919.1
XM_017012661.1	XP_016868150.1
XM_011515549.1	XP_011513851.1
NM_172078.2	NP_742075.1
NM_001293170.1	NP_001280099.1
XM_011515553.1	XP_011513855.1
XM_011515555.1	XP_011513857.1
NM_001220.4	NP_001211.3
XM_011515547.1	XP_011513849.1
XM_017012670.1	XP_016868159.1
XM_017012668.1	XP_016868157.1
XM_017012669.1	XP_016868158.1
XM_017012663.1	XP_016868152.1
XM_017012667.1	XP_016868156.1
XM_017012666.1	XP_016868155.1
XM_011515559.1	XP_011513861.1
XM_011515558.2	XP_011513860.1
XM_011515247.2	XP_011513549.1
NM_015332.3	NP_056147.2
XM_017011909.1	XP_016867398.1
XM_017011910.1	XP_016867399.1
XM_017011908.1	XP_016867397.1
XM_011515326.2	XP_011513628.1
NM_001101648.1	NP_001095118.1
NM_013389.2	NP_037521.2
XM_011515328.2	XP_011513630.1
XM_011515327.2	XP_011513629.1
NM_001300967.1	NP_001287896.1
NM_001257189.1	NP_001244118.1
NM_019082.3	NP_061955.1
NM_001303059.1	NP_001289988.1
NM_182547.3	NP_872353.2
NM_001303061.1	NP_001289990.1
NM_001303062.1	NP_001289991.1
NM_001303058.1	NP_001289987.1
NM_001303060.1	NP_001289989.1
XM_005249761.3	XP_005249818.1
NM_001165036.1	NP_001158508.1
XM_005249759.4	XP_005249816.1
XM_011515408.2	XP_011513710.1
NM_002541.3	NP_002532.2
NM_001003941.2	NP_001003941.1
XM_017012674.1	XP_016868163.1
XM_005249866.2	XP_005249923.1
XM_005249867.4	XP_005249924.1
XM_005249868.4	XP_005249925.1
XM_005249869.2	XP_005249926.1
NM_031449.3	NP_113637.3
XM_005249870.2	XP_005249927.1
XM_005249872.2	XP_005249929.1
NM_174929.2	NP_777589.2
XM_005249871.2	XP_005249928.1
XM_005249873.2	XP_005249930.1
NM_001300959.1	NP_001287888.1
XM_011515566.1	XP_011513868.1
NM_021130.4	NP_066953.1
NM_001300981.1	NP_001287910.1
NM_138635.3	NP_619541.1
NM_201436.2	NP_958844.1
NM_201517.2	NP_958925.1
NM_012412.4	NP_036544.1
NM_201516.2	NP_958924.1
NM_033224.4	NP_150093.1
NM_033054.2	NP_149043.2
XM_017012503.1	XP_016867992.1
XM_017012504.1	XP_016867993.1
XM_011515562.1	XP_011513864.1
NM_031443.3	NP_113631.1
NM_001167935.1	NP_001161407.1
XM_011515564.2	XP_011513866.1
NM_001167934.1	NP_001161406.1
XM_017012673.1	XP_016868162.1
XM_011515561.2	XP_011513863.1
NM_001029835.2	NP_001025006.1
XM_006715786.3	XP_006715849.1
XM_011515563.2	XP_011513865.1
XM_006715785.3	XP_006715848.1
XM_017012671.1	XP_016868160.1
XM_017012672.1	XP_016868161.1
XM_006715674.3	XP_006715737.1
NM_001146334.1	NP_001139806.1
NM_001261834.1	NP_001248763.1
NM_030900.3	NP_112162.1
NM_199122.2	NP_954573.1
NM_004749.3	NP_004740.2
XM_006715631.3	XP_006715694.1
NM_005856.2	NP_005847.1
XM_017011666.1	XP_016867155.1
NM_021116.2	NP_066939.1
XM_005249584.3	XP_005249641.1
XM_005249585.2	XP_005249642.1
NM_001281768.1	NP_001268697.1
NM_000596.2	NP_000587.1
XM_017012152.1	XP_016867641.1
NM_000598.4	NP_000589.2
NM_001013398.1	NP_001013416.1
XM_011515477.2	XP_011513779.1
XM_017012537.1	XP_016868026.1
XM_011515476.2	XP_011513778.1
XM_011515478.2	XP_011513780.1
XM_017012538.1	XP_016868027.1
XM_011515479.2	XP_011513781.1
XM_017012539.1	XP_016868028.1
NM_022748.11	NP_073585.8
XM_011515480.2	XP_011513782.1
XM_011515481.2	XP_011513783.1
XM_011515482.2	XP_011513784.1
XM_011515483.2	XP_011513785.1
XM_011515484.2	XP_011513786.1
NM_001123065.1	NP_001116537.1
XM_017011798.1	XP_016867287.1
NM_138295.3	NP_612152.1
NM_025031.2	NP_079307.2
NM_001302627.1	NP_001289556.1
NM_004507.3	NP_004498.1
XM_017012115.1	XP_016867604.1
XM_017011930.1	XP_016867419.1
NM_152782.3	NP_689995.3
NM_001030019.1	NP_001025190.1
NM_001284350.1	NP_001271279.1
NM_001100159.2	NP_001093629.1
XM_011515121.1	XP_011513423.1
XM_006715649.3	XP_006715712.1
XM_011515122.2	XP_011513424.1
XM_011515123.2	XP_011513425.1
XM_006715650.2	XP_006715713.1
NM_001267865.1	NP_001254794.1
NM_001267866.1	NP_001254795.1
NM_003364.3	NP_003355.1
NM_001287426.1	NP_001274355.1
XM_011515512.2	XP_011513814.1
XM_011515513.2	XP_011513815.1
XM_011515514.2	XP_011513816.1
NM_001287428.1	NP_001274357.1
NM_001287430.1	NP_001274359.1
NM_001287429.1	NP_001274358.1
XM_005249838.4	XP_005249895.1
XM_011515515.2	XP_011513817.1
XM_011515130.2	XP_011513432.1
XM_011515131.2	XP_011513433.1
NM_152701.4	NP_689914.3
XM_011515132.2	XP_011513434.1
XM_011515133.2	XP_011513435.1
XM_011515134.2	XP_011513436.1
XM_011515137.2	XP_011513439.1
XM_011515138.2	XP_011513440.1
XM_011515139.2	XP_011513441.1
XM_017011768.1	XP_016867257.1
XM_017011767.1	XP_016867256.1
XM_011515141.2	XP_011513443.1
XM_011515142.2	XP_011513444.1
XM_011515144.2	XP_011513446.1
XM_011515143.2	XP_011513445.1
XM_011515145.2	XP_011513447.1
XM_011515146.2	XP_011513448.1
XM_011515147.2	XP_011513449.1
XM_011515148.2	XP_011513450.1
XM_011515149.2	XP_011513451.1
XM_017011769.1	XP_016867258.1
XM_011515136.2	XP_011513438.2
NM_198570.4	NP_940972.2
XM_011515097.1	XP_011513399.1
XM_017011707.1	XP_016867196.1
XM_011515100.2	XP_011513402.1
XM_011515101.2	XP_011513403.1
XM_011515096.2	XP_011513398.1
XM_011515095.2	XP_011513397.1
XM_011515102.2	XP_011513404.1
NM_001159878.1	NP_001153350.1
NM_007009.2	NP_008940.2
XM_011515103.1	XP_011513405.1
NM_001161834.2	NP_001155306.2
XM_011515052.1	XP_011513354.1
XM_011515053.2	XP_011513355.1
XM_011515058.2	XP_011513360.1
XM_011515059.2	XP_011513361.1
XM_011515067.2	XP_011513369.1
XM_011515071.2	XP_011513373.1
XM_011515061.2	XP_011513363.1
XM_011515070.2	XP_011513372.1
XM_011515072.2	XP_011513374.1
XM_011515074.2	XP_011513376.1
XM_011515077.2	XP_011513379.1
XM_011515078.2	XP_011513380.1
XM_011515060.2	XP_011513362.1
XM_011515062.2	XP_011513364.1
XM_011515063.2	XP_011513365.1
XM_011515064.2	XP_011513366.1
XM_011515065.2	XP_011513367.1
XM_011515066.2	XP_011513368.1
XM_017011667.1	XP_016867156.1
XM_011515073.2	XP_011513375.1
NM_006060.5	NP_006051.1
XM_011515068.2	XP_011513370.1
XM_011515069.2	XP_011513371.1
NM_001220765.2	NP_001207694.1
NM_001291837.1	NP_001278766.1
NM_001220768.2	NP_001207697.1
NM_001220771.2	NP_001207700.1
XM_017011668.1	XP_016867157.1
NM_001291838.1	NP_001278767.1
XM_011515075.2	XP_011513377.1
XM_011515076.2	XP_011513378.1
NM_001220767.2	NP_001207696.1
NM_001291839.1	NP_001278768.1
NM_001220770.2	NP_001207699.1
NM_001291841.1	NP_001278770.1
NM_001291842.1	NP_001278771.1
NM_001291843.1	NP_001278772.1
NM_001291844.1	NP_001278773.1
NM_001291840.1	NP_001278769.1
XM_017011669.1	XP_016867158.1
XM_017011670.1	XP_016867159.1
NM_001291846.1	NP_001278775.1
NM_001291847.1	NP_001278776.1
NM_001291845.1	NP_001278774.1
XM_017012501.1	XP_016867990.1
XM_017012502.1	XP_016867991.1
NM_001042762.2	NP_001036227.1
NM_022116.4	NP_071399.2
NM_001287492.1	NP_001274421.1
NM_001287493.1	NP_001274422.1
NM_001287494.1	NP_001274423.1
NM_001287495.1	NP_001274424.1
XM_011515470.2	XP_011513772.1
NM_001287496.1	NP_001274425.1
NM_001242888.1	NP_001229817.1
NM_001242886.1	NP_001229815.1
XM_005271745.4	XP_005271802.1
NM_001242889.1	NP_001229818.1
NM_001242887.1	NP_001229816.1
NM_001082971.1	NP_001076440.1
NM_000790.3	NP_000781.1
XM_011515161.2	XP_011513463.2
NM_001242890.1	NP_001229819.1
XM_017012044.1	XP_016867533.1
XM_017012030.1	XP_016867519.1
XM_017012031.1	XP_016867520.1
XM_017012029.1	XP_016867518.1
NM_001001549.2	NP_001001549.1
XM_017012046.1	XP_016867535.1
NM_005311.4	NP_005302.3
XM_011515304.1	XP_011513606.1
XM_017012032.1	XP_016867521.1
XM_017012033.1	XP_016867522.1
XM_017012034.1	XP_016867523.1
XM_011515312.2	XP_011513614.1
XM_017012035.1	XP_016867524.1
XM_017012036.1	XP_016867525.1
XM_017012037.1	XP_016867526.1
XM_017012038.1	XP_016867527.1
XM_017012039.1	XP_016867528.1
XM_017012040.1	XP_016867529.1
XM_017012041.1	XP_016867530.1
XM_017012042.1	XP_016867531.1
XM_017012043.1	XP_016867532.1
XM_017012045.1	XP_016867534.1
XM_017012063.1	XP_016867552.1
XM_017012064.1	XP_016867553.1
XM_017012065.1	XP_016867554.1
XM_017012066.1	XP_016867555.1
XM_017012067.1	XP_016867556.1
XM_017012068.1	XP_016867557.1
NM_001001550.2	NP_001001550.1
NM_001001555.2	NP_001001555.1
XM_011515316.1	XP_011513618.1
XM_017012047.1	XP_016867536.1
XM_017012048.1	XP_016867537.1
XM_017012049.1	XP_016867538.1
XM_017012050.1	XP_016867539.1
XM_017012051.1	XP_016867540.1
XM_017012052.1	XP_016867541.1
XM_017012053.1	XP_016867542.1
XM_017012054.1	XP_016867543.1
XM_017012055.1	XP_016867544.1
XM_017012056.1	XP_016867545.1
XM_017012057.1	XP_016867546.1
XM_017012058.1	XP_016867547.1
XM_017012059.1	XP_016867548.1
XM_017012060.1	XP_016867549.1
XM_017012061.1	XP_016867550.1
XM_017012062.1	XP_016867551.1
XM_011515323.2	XP_011513625.1
XM_017011900.1	XP_016867389.1
XM_005271756.1	XP_005271813.1
NM_015198.3	NP_056013.2
XM_017011899.1	XP_016867388.1
NM_001287436.1	NP_001274365.1
XM_005271751.1	XP_005271808.1
XM_011515240.1	XP_011513542.1
XM_011515235.1	XP_011513537.1
XM_017011898.1	XP_016867387.1
XM_005271750.1	XP_005271807.1
XM_011515239.1	XP_011513541.1
XM_011515237.1	XP_011513539.1
XM_011515238.1	XP_011513540.1
XM_011515236.1	XP_011513538.1
XM_011515234.1	XP_011513536.1
XM_011515241.1	XP_011513543.1
XM_017011901.1	XP_016867390.1
NM_001287438.1	NP_001274367.1
XM_017012923.1	XP_016868412.1
NM_182595.3	NP_872401.3
NM_001301009.1	NP_001287938.1
NM_182546.3	NP_872352.2
XM_006715666.3	XP_006715729.1
XM_006715665.3	XP_006715728.1
XM_017011841.1	XP_016867330.1
NM_001317843.1	NP_001304772.1
NM_001012456.1	NP_001012474.1
NM_014302.3	NP_055117.1
NM_005228.3	NP_005219.2
NM_201284.1	NP_958441.1
NM_201282.1	NP_958439.1
NM_201283.1	NP_958440.1
XM_017012924.1	XP_016868413.1
NM_018697.3	NP_061167.1
XM_011515539.1	XP_011513841.1
XM_011515546.2	XP_011513848.1
XM_011515540.2	XP_011513842.1
XM_011515541.2	XP_011513843.1
NM_001321247.1	NP_001308176.1
NM_001321242.1	NP_001308171.1
NM_001321250.1	NP_001308179.1
NM_001321251.1	NP_001308180.1
NM_001321249.1	NP_001308178.1
NM_001321243.1	NP_001308172.1
NM_001321246.1	NP_001308175.1
NM_030796.4	NP_110423.3
NM_001321244.1	NP_001308173.1
NM_001284282.1	NP_001271211.1
NM_001284283.1	NP_001271212.1
NM_001284284.1	NP_001271213.1
NM_001321248.1	NP_001308177.1
XM_017012925.1	XP_016868414.1
XM_017012926.1	XP_016868415.1
XM_017012927.1	XP_016868416.1
XM_005271793.4	XP_005271850.1
NM_207366.2	NP_997249.2
XM_011515373.2	XP_011513675.1
NM_182633.2	NP_872439.2
NM_015969.2	NP_057053.1
NM_001483.2	NP_001474.1
NM_001202469.1	NP_001189398.1
XM_017012468.1	XP_016867957.1
XM_017012469.1	XP_016867958.1
XM_006715761.1	XP_006715824.1
XM_017012466.1	XP_016867955.1
XM_017012467.1	XP_016867956.1
NM_004577.3	NP_004568.2
XM_005271773.1	XP_005271830.1
XM_005271774.1	XP_005271831.1
XM_005271775.1	XP_005271832.1
XM_005271776.1	XP_005271833.1
XM_006715760.1	XP_006715823.1
XM_011515461.1	XP_011513763.1
NM_001762.3	NP_001753.1
NM_001009186.1	NP_001009186.1
NM_001130069.2	NP_001123541.1
XM_017011939.1	XP_016867428.1
XM_017011940.1	XP_016867429.1
NM_015411.2	NP_056226.2
NM_001042469.1	NP_001035934.2
NM_001042470.1	NP_001035935.2
XM_011515254.2	XP_011513556.1
NM_001146333.1	NP_001139805.1
XM_005271772.4	XP_005271829.1
XM_017012326.1	XP_016867815.1
NM_001258460.1	NP_001245389.1
NM_006213.4	NP_006204.1
XM_017012324.1	XP_016867813.1
NM_001258459.1	NP_001245388.1
XM_017012325.1	XP_016867814.1
XM_017012327.1	XP_016867816.1
NM_001320327.1	NP_001307256.1
NM_016139.3	NP_057223.1
NM_001145712.1	NP_001139184.1
XM_017012928.1	XP_016868417.1
XM_017012929.1	XP_016868418.1
XM_017012902.1	XP_016868391.1
XM_011515609.2	XP_011513911.1
XM_017012777.1	XP_016868266.1
NM_033273.2	NP_150376.1
XM_011515604.2	XP_011513906.1
XM_011515608.2	XP_011513910.1
XM_017012778.1	XP_016868267.1
XM_011515610.2	XP_011513912.1
XM_011515611.2	XP_011513913.1
NM_001159279.1	NP_001152751.1
XM_005250748.3	XP_005250805.1
XM_005250737.3	XP_005250794.1
XM_017012931.1	XP_016868420.1
XM_017012930.1	XP_016868419.1
XM_017012932.1	XP_016868421.1
NM_001159522.1	NP_001152994.1
XM_017012225.1	XP_016867714.1
NM_001159524.1	NP_001152996.1
XM_017011797.1	XP_016867286.1
NM_153363.2	NP_699194.2
NM_001170905.2	NP_001164376.1
NM_001294255.1	NP_001281184.1
NM_178558.4	NP_848653.2
XM_006715959.2	XP_006716022.1
XM_017012126.1	XP_016867615.1
XM_017012127.1	XP_016867616.1
XM_017012128.1	XP_016867617.1
XM_017012129.1	XP_016867618.1
NM_001130022.1	NP_001123494.1
NM_001282359.1	NP_001269288.1
NM_001282360.1	NP_001269289.1
XM_017012283.1	XP_016867772.1
XM_017012284.1	XP_016867773.1
XM_017012285.1	XP_016867774.1
XM_017012286.1	XP_016867775.1
NM_001013746.2	NP_001013768.1
NM_016220.4	NP_057304.1
NM_001271639.1	NP_001258568.1
NM_006524.3	NP_006515.2
NM_001160183.2	NP_001153655.1
NM_001271640.1	NP_001258569.1
NM_001271637.1	NP_001258566.1
NM_001271638.1	NP_001258567.1
NM_001271649.1	NP_001258578.1
XM_011516745.2	XP_011515047.1
XM_017011688.1	XP_016867177.1
NM_021148.2	NP_066971.2
XM_011515746.2	XP_011514048.1
XM_017011689.1	XP_016867178.1
XM_017011690.1	XP_016867179.1
XM_017011691.1	XP_016867180.1
XM_017011692.1	XP_016867181.1
XM_017011693.1	XP_016867182.1
XM_017011694.1	XP_016867183.1
XM_017011695.1	XP_016867184.1
XM_017011696.1	XP_016867185.1
XM_017011697.1	XP_016867186.1
XM_017011698.1	XP_016867187.1
NM_015852.3	NP_056936.2
NM_001007253.3	NP_001007254.2
XM_017012880.1	XP_016868369.1
XM_017012881.1	XP_016868370.1
XM_017012882.1	XP_016868371.1
NM_152626.3	NP_689839.1
NM_001287532.1	NP_001274461.1
NM_007139.3	NP_009070.2
NM_001287533.1	NP_001274462.1
NM_001287534.1	NP_001274463.1
XM_011516746.2	XP_011515048.1
XM_011516747.2	XP_011515049.1
XM_011516748.2	XP_011515050.1
XM_011515830.2	XP_011514132.1
XM_011515831.2	XP_011514133.1
NM_001284342.1	NP_001271271.1
NM_173517.4	NP_775788.2
NM_001284290.1	NP_001271219.1
XM_005250297.3	XP_005250354.1
NM_000181.3	NP_000172.2
NM_001293105.1	NP_001280034.1
XM_017012091.1	XP_016867580.1
XM_011516113.1	XP_011514415.1
XM_017012092.1	XP_016867581.1
NM_001293104.1	NP_001280033.1
XM_017012093.1	XP_016867582.1
XM_011516114.1	XP_011514416.1
NM_000048.3	NP_000039.2
NM_001024943.1	NP_001020114.1
NM_001024944.1	NP_001020115.1
NM_001024946.1	NP_001020117.1
NM_001142414.1	NP_001135886.1
NM_014478.4	NP_055293.1
NM_001040647.1	NP_001035737.1
NM_001040648.1	NP_001035738.1
XM_017012725.1	XP_016868214.1
XM_017012726.1	XP_016868215.1
XM_017012727.1	XP_016868216.1
NM_003596.3	NP_003587.1
